text,label
Government announces new infrastructure bill with bipartisan support,Real
Scientists discover new species of frog in Amazon rainforest,Real
Federal Reserve raises interest rates by 0.25 percentage points,Real
Study finds correlation between exercise and improved mental health,Real
Tech company reports quarterly earnings exceeding expectations,Real
New education policy aims to increase STEM funding in public schools,Real
Research shows vaccines remain effective against new variants,Real
United Nations convenes emergency session on climate change,Real
Archaeologists uncover ancient civilization ruins in Egypt,Real
Stock market reaches record high amid economic optimism,Real
Hospital receives accreditation for new cardiac center,Real
University study reveals benefits of Mediterranean diet,Real
Police department implements new community outreach program,Real
Nasa successfully launches satellite for weather monitoring,Real
Trade agreement signed between European Union and Japan,Real
Supreme Court rules on landmark environmental protection case,Real
Census data shows population growth in metropolitan areas,Real
Medical researchers develop new treatment for diabetes,Real
City council approves budget for public transportation expansion,Real
International Olympic Committee announces host city for 2030 games,Real
Modi meets with delegation to discuss trade relations,Real
Parliament passes new labor laws with majority vote,Real
ISRO successfully launches communication satellite,Real
Supreme Court dismisses petition against government policy,Real
RBI maintains repo rate at current level amid inflation concerns,Real
India's GDP grows at 7.2% in fiscal quarter,Real
Foreign Minister visits neighboring country for bilateral talks,Real
New Delhi hosts international summit on renewable energy,Real
Defense Ministry acquires advanced aircraft for Air Force,Real
Election Commission announces dates for state assembly elections,Real
Shocking discovery: Scientists admit climate change is a hoax,Fake
You won't believe what this celebrity did to lose 50 pounds instantly,Fake
Secret government plot to implant microchips in vaccines exposed,Fake
Miracle cure for cancer suppressed by big pharma companies,Fake
Aliens found living in underground base in Nevada desert,Fake
Breaking: Famous actor faked death to escape illuminati,Fake
Doctors hate this one weird trick for eternal youth,Fake
Conspiracy theorist proves earth is actually flat using smartphone,Fake
Shocking footage: Mermaids caught on camera by fishermen,Fake
Secret documents reveal moon landing was filmed in Hollywood studio,Fake
Time traveler from 2050 reveals lottery numbers,Fake
Mind control chemicals found in popular soft drinks,Fake
Breaking: Politician caught worshipping ancient lizard gods,Fake
Cure for blindness kept secret by eye doctors for profits,Fake
Shocking: Earth will collide with mysterious planet next month,Fake
5G towers spreading coronavirus according to leaked documents,Fake
Anonymous hacker exposes world's biggest financial fraud,Fake
Celebrity sells soul to devil for fame and fortune,Fake
Secret ingredient in bottled water turns men into women,Fake
Government planning to ban all private property by 2025,Fake
Modi is actually an alien from outer space claims expert,Fake
RBI secretly controlled by foreign powers says whistleblower,Fake
Miracle stone found in Ganges cures all diseases instantly,Fake
Opposition leader planning military coup according to sources,Fake
ISRO fakes Mars mission to get more funding,Fake
Parliament members are all robots confirms insider,Fake
New Delhi actually built on ancient UFO landing site,Fake
Indian currency contains tracking chips for surveillance,Fake
Famous guru discovers way to turn plastic into gold,Fake
Election results predetermined by algorithm claims hacker,Fake
